precision,recall,f1-score,support
0.9838220424671386,0.9928571428571429,0.9883189436262062,980.0
0.9947229551451188,0.9964757709251101,0.9955985915492958,1135.0
0.988394584139265,0.9903100775193798,0.989351403678606,1032.0
0.9920318725099602,0.9861386138613861,0.9890764647467726,1010.0
0.9908256880733946,0.9898167006109979,0.9903209373408048,982.0
0.979933110367893,0.9854260089686099,0.9826718837339297,892.0
0.9947201689545935,0.9832985386221295,0.9889763779527558,958.0
0.9854368932038835,0.9873540856031129,0.9863945578231293,1028.0
0.9836233367451381,0.9866529774127311,0.9851358277806254,974.0
0.9860557768924303,0.981169474727453,0.9836065573770493,1009.0
0.9881,0.9881,0.9881,0.9881
0.9879566428498816,0.9879499391108053,0.9879451545609175,10000.0
0.988117317485684,0.9881,0.9881007613084719,10000.0
