grid_size,width_mult,use_relu,prune_amt,val_loss,val_acc,params,flops,latency
4,1.0,True,0.0,0.03810505808591843,0.9882,71936,1876536.0,0.0020239734649658203
4,1.0,True,0.25,0.037932754719257354,0.9885,68686,1876536.0,0.001999025344848633
4,1.0,False,0.0,0.05108097008466721,0.9829,71936,1876536.0,0.001256117820739746
4,1.0,False,0.25,0.044371928185224535,0.9864,68686,1876536.0,0.0014017200469970703
4,1.5,True,0.0,0.029986876034736633,0.9904,111333,3708320.0,0.0021541738510131836
4,1.5,True,0.25,0.029002928620576858,0.9899,104333,3708320.0,0.0014858531951904297
4,1.5,False,0.0,0.038007587921619415,0.9889,111333,3708320.0,0.001269097328186035
4,1.5,False,0.25,0.0395196337223053,0.9872,104333,3708320.0,0.0014258050918579102
8,1.0,True,0.0,0.03920337296128273,0.9867,82144,3306936.0,0.0023976993560791016
8,1.0,True,0.25,0.039968915235996244,0.9866,76294,3306936.0,0.0014936399459838867
8,1.0,False,0.0,0.03597395811676979,0.9884,82144,3306936.0,0.0013166427612304687
8,1.0,False,0.25,0.0421007954955101,0.9852,76294,3306936.0,0.0013993453979492187
8,1.5,True,0.0,0.026389888954162596,0.9907,133841,6573920.0,0.003164796829223633
8,1.5,True,0.25,0.030912887853384016,0.9901,121241,6573920.0,0.0018760442733764648
8,1.5,False,0.0,0.03298320447206497,0.9882,133841,6573920.0,0.00200406551361084
8,1.5,False,0.25,0.034807946574687956,0.9885,121241,6573920.0,0.0016512870788574219
16,1.0,True,0.0,0.04129706768989563,0.9861,102560,6167736.0,0.0037403249740600585
16,1.0,True,0.25,0.05560409128069878,0.9819,91510,6167736.0,0.0018431711196899413
16,1.0,False,0.0,0.042249330759048465,0.9867,102560,6167736.0,0.0019327974319458007
16,1.0,False,0.25,0.0379063183248043,0.9872,91510,6167736.0,0.0019766855239868163
16,1.5,True,0.0,0.034655920106172564,0.9887,178857,12305120.0,0.005092635154724121
16,1.5,True,0.25,0.0399105062186718,0.9877,155057,12305120.0,0.0022443866729736327
16,1.5,False,0.0,0.04264520337581634,0.9868,178857,12305120.0,0.0021527671813964845
16,1.5,False,0.25,0.043718455481529236,0.9872,155057,12305120.0,0.0021945667266845704
